Date,High,Low,Open,Close,Volume,Adj Close,Month,Quarter,Year
2005-05-26,132.0120087,129.2792816,130.610611,129.7297363,27066107,129.7297363,5,Quarter 2,2005
2005-05-27,133.1581573,129.7547607,130.3603668,133.1331329,24343832,133.1331329,5,Quarter 2,2005
2005-05-31,139.3393402,134.8198242,134.8498535,138.7737732,44429126,138.7737732,5,Quarter 2,2005
2005-06-01,146.5915985,141.1511536,141.741745,144.1441498,70313017,144.1441498,6,Quarter 2,2005
2005-06-02,145.0350342,142.4424438,144.5095062,144.094101,35912252,144.094101,6,Quarter 2,2005
2005-06-03,144.7947998,138.8438416,143.5385437,140.2702637,37527035,140.2702637,6,Quarter 2,2005
2005-06-06,147.0220184,141.0560608,141.3363342,145.6156158,45006748,145.6156158,6,Quarter 2,2005
2005-06-07,149.9449463,145.2952881,148.6987,146.7067108,48597354,146.7067108,6,Quarter 2,2005
2005-06-08,146.741745,139.1391449,146.571579,139.9199219,51350398,139.9199219,6,Quarter 2,2005
2005-06-09,144.3943939,140.4204254,142.5025024,143.2982941,32849318,143.2982941,6,Quarter 2,2005
2005-06-10,143.783783,140.1501465,143.6386414,141.3913879,25367807,141.3913879,6,Quarter 2,2005
2005-06-13,142.2372437,138.3983917,140.0500488,141.51651,25580794,141.51651,6,Quarter 2,2005
2005-06-14,140.7607574,139.0140076,139.434433,139.3143158,20163616,139.3143158,6,Quarter 2,2005
2005-06-15,138.7887878,133.8488464,137.6376343,137.5375366,41724434,137.5375366,6,Quarter 2,2005
2005-06-16,139.2892914,136.6716766,137.2672729,138.8588562,24899875,138.8588562,6,Quarter 2,2005
2005-06-17,140.2902832,138.088089,139.6396332,140.2902832,20847931,140.2902832,6,Quarter 2,2005
2005-06-20,143.9789734,136.0010071,138.1831818,143.4934998,42007351,143.4934998,6,Quarter 2,2005
2005-06-21,145.2952881,142.6276245,144.179184,144.0640564,30234335,144.0640564,6,Quarter 2,2005
2005-06-22,146.3063049,144.4794769,144.9799805,144.7947998,20927052,144.7947998,6,Quarter 2,2005
2005-06-23,147.5525513,143.3933868,144.1441498,145,28084687,145,6,Quarter 2,2005
2005-06-24,149.1491547,144.9349365,145.5955963,148.7737732,35506858,148.7737732,6,Quarter 2,2005
2005-06-27,152.3873901,147.0770721,149.5995941,152.2022095,35570194,152.2022095,6,Quarter 2,2005
2005-06-28,154.7797852,151.1511536,153.2932892,151.1511536,38034927,151.1511536,6,Quarter 2,2005
2005-06-29,152.3423462,146.2212219,151.4013977,146.5065002,36560803,146.5065002,6,Quarter 2,2005
2005-06-30,149.6146088,145.6656647,147.3173218,147.222229,30158611,147.222229,6,Quarter 2,2005
2005-07-01,148.2682648,144.7547607,147.6676636,145.7707672,18436745,145.7707672,7,Quarter 3,2005
2005-07-05,148.1381378,145.2602539,146.1961975,148.003006,14973012,148.003006,7,Quarter 3,2005
2005-07-06,148.9489441,145.8358307,148.7987976,145.905899,15984599,145.905899,7,Quarter 3,2005
2005-07-07,148.0480499,144.3993988,144.8398438,147.917923,21322856,147.917923,7,Quarter 3,2005
2005-07-08,148.8988953,147.1721649,148.2732697,148.2632599,14900285,148.2632599,7,Quarter 3,2005
